winner,SEED_higher,SEED_lower,TEAM_higher,TEAM_lower,ADJOE_higher,ADJDE_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,3P_O_higher,3P_D_higher,Turnover_diff_higher,ADJOE_lower,ADJDE_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,3P_O_lower,3P_D_lower,Turnover_diff_lower
Higher,1,16,North Carolina,Florida Gulf Coast,123.3,94.9,40.7,30,32.3,30.4,32.7,36.2,2.8,102.9,102.4,31.7,27.5,37.3,35.3,34.2,31.2,-1.3
Higher,1,9,North Carolina,Providence,123.3,94.9,40.7,30,32.3,30.4,32.7,36.2,2.8,108.7,95.4,30.4,30.3,37.3,28,32.1,32.3,4.5
Higher,1,5,North Carolina,Indiana,123.3,94.9,40.7,30,32.3,30.4,32.7,36.2,2.8,121.3,98.4,37.2,29.2,33.9,30.2,41.6,34.3,-0.7
Higher,1,6,North Carolina,Notre Dame,123.3,94.9,40.7,30,32.3,30.4,32.7,36.2,2.8,118.3,103.3,32.7,32.1,32.9,26,37.4,36.9,-0.5
Higher,1,10,North Carolina,Syracuse,123.3,94.9,40.7,30,32.3,30.4,32.7,36.2,2.8,111.9,93.6,33.5,35.3,35.4,28,36,30.7,2.3
Lower,1,2,North Carolina,Villanova,123.3,94.9,40.7,30,32.3,30.4,32.7,36.2,2.8,123.1,90.9,28.2,29.4,34.1,30,36.2,33.9,4.3
Higher,1,16,Wisconsin,Coastal Carolina,129.1,93.6,32.1,23.7,36.2,22.4,36.5,37.5,3.4,104.5,103,34.8,28,38.9,35,35.9,33.8,-0.6
Higher,1,8,Wisconsin,Oregon,129.1,93.6,32.1,23.7,36.2,22.4,36.5,37.5,3.4,114.3,99.1,30.2,31.5,29.1,35.4,36.9,33.2,-0.2
Higher,1,4,Wisconsin,North Carolina,129.1,93.6,32.1,23.7,36.2,22.4,36.5,37.5,3.4,119.6,92.5,40,31.2,35.2,37.8,35.8,30,-0.5
Higher,1,2,Wisconsin,Arizona,129.1,93.6,32.1,23.7,36.2,22.4,36.5,37.5,3.4,117.5,86.9,34.5,22.4,47.1,37.3,36,33.5,4.1
Lower,1,1,Wisconsin,Kentucky,129.1,93.6,32.1,23.7,36.2,22.4,36.5,37.5,3.4,120.3,84,39.5,31.8,43.9,31.7,34.9,27.1,5
Lower,1,1,Duke,Wisconsin,125.2,90.6,35.8,30.2,39.8,23.9,38.7,31.4,2.3,129.1,93.6,32.1,23.7,36.2,22.4,36.5,37.5,3.4
Higher,3,14,Michigan,Montana,114.4,90.4,25.5,24.9,30.7,30,35.2,33.2,5.5,106.7,98.4,33.5,26.1,38.3,41.4,33.7,35.2,3.8
Higher,3,6,Michigan,Houston,114.4,90.4,25.5,24.9,30.7,30,35.2,33.2,5.5,114.8,93.9,33.8,25.8,32.6,41.6,38.7,32.3,1.6
Higher,3,7,Michigan,Texas A&M,114.4,90.4,25.5,24.9,30.7,30,35.2,33.2,5.5,111.2,94.7,33.9,27.3,32,27.6,32.9,32.6,-3.9
Higher,3,9,Michigan,Florida St.,114.4,90.4,25.5,24.9,30.7,30,35.2,33.2,5.5,113.2,96.4,32.3,29.8,37,32.4,35,35.5,1.6
Higher,3,11,Michigan,Loyola Chicago,114.4,90.4,25.5,24.9,30.7,30,35.2,33.2,5.5,110.5,95.4,22.1,25.9,32.2,25.2,39.8,32,0.3
Higher,1,3,Villanova,Michigan,128.4,94.1,29.6,27.1,29.4,26.7,40.1,31.7,3.2,114.4,90.4,25.5,24.9,30.7,30,35.2,33.2,5.5
Higher,3,14,Texas Tech,Northern Kentucky,115.2,85.2,27.4,28.7,32.9,36.6,36.5,29.7,5.1,107.8,101.3,30.6,26,34.8,35.2,36,32,0.6
Higher,3,6,Texas Tech,Buffalo,115.2,85.2,27.4,28.7,32.9,36.6,36.5,29.7,5.1,113.6,95.3,31.7,26.9,32.7,31.9,33.7,29.3,4.3
Lower,2,3,Michigan,Texas Tech,114.6,85.6,24.7,24.8,27.5,24.1,34.2,29.1,4.1,115.2,85.2,27.4,28.7,32.9,36.6,36.5,29.7,5.1
Lower,1,3,Gonzaga,Texas Tech,123.4,89.9,31.5,26.8,35.3,25.9,36.3,30.4,4.1,115.2,85.2,27.4,28.7,32.9,36.6,36.5,29.7,5.1
Lower,2,3,Michigan St.,Texas Tech,119.9,91,33.9,26.4,33.6,27.5,37.8,31.6,-3.6,115.2,85.2,27.4,28.7,32.9,36.6,36.5,29.7,5.1
